# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 8ba1a4d9b92f
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,Description
localhost:8000,gauge,llamacpp:n_busy_slots_per_decode,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Average number of busy slots per llama_decode() call
localhost:8000,gauge,llamacpp:predicted_tokens_seconds,tokens/s,60.0893,58.6453,61.7340,1.0907,58.6453,58.6453,58.6453,58.6453,60.3769,61.2670,61.2670,61.2670,61.2670,Average generation throughput in tokens/s.
localhost:8000,gauge,llamacpp:prompt_tokens_seconds,tokens/s,3185.6100,3176.3900,3274.4100,9.8701,3176.3900,3176.3900,3176.3900,3176.3900,3187.9600,3190.7400,3190.7400,3190.7400,3190.7400,Average prompt throughput in tokens/s.
localhost:8000,gauge,llamacpp:requests_deferred,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Number of requests deferred.
localhost:8000,gauge,llamacpp:requests_processing,,0.9993,0.0000,1.0000,0.0272,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Number of requests processing.

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,Description
localhost:8000,counter,llamacpp:n_decode,,110656.0000,61.4933,,,,,Total number of llama_decode() calls
localhost:8000,counter,llamacpp:n_tokens_max,,7.0000,0.0039,,,,,Largest observed n_tokens.
localhost:8000,counter,llamacpp:prompt_seconds,seconds,34.9670,0.0194,,,,,Prompt process time
localhost:8000,counter,llamacpp:prompt_tokens,tokens,110628.0000,61.4778,,,,,Number of prompt tokens processed.
localhost:8000,counter,llamacpp:tokens_predicted,,147456.0000,81.9437,,,,,Number of generation tokens processed.
localhost:8000,counter,llamacpp:tokens_predicted_seconds,seconds,2388.5700,1.3274,,,,,Predict process time
