# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: aacbd2fbea60
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,Description
localhost:8001,gauge,llamacpp:n_busy_slots_per_decode,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Average number of busy slots per llama_decode() call
localhost:8001,gauge,llamacpp:predicted_tokens_seconds,tokens/s,106.2008,103.1260,126.8740,5.3333,103.1260,103.4230,103.5660,103.9225,104.2680,104.8380,113.8660,121.9530,126.8740,Average generation throughput in tokens/s.
localhost:8001,gauge,llamacpp:prompt_tokens_seconds,tokens/s,1936.7501,1350.8300,2034.2600,130.1711,1522.6600,1652.0000,1721.4900,1899.3800,2004.5000,2023.4700,2032.0850,2032.7500,2034.2600,Average prompt throughput in tokens/s.
localhost:8001,gauge,llamacpp:requests_deferred,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Number of requests deferred.
localhost:8001,gauge,llamacpp:requests_processing,,0.9958,0.0000,1.0000,0.0648,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Number of requests processing.

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,Description
localhost:8001,counter,llamacpp:n_decode,,5380.0000,33.9108,,,,,Total number of llama_decode() calls
localhost:8001,counter,llamacpp:n_tokens_max,,0.0000,0.0000,,,,,Largest observed n_tokens.
localhost:8001,counter,llamacpp:prompt_seconds,seconds,7.4820,0.0472,,,,,Prompt process time
localhost:8001,counter,llamacpp:prompt_tokens,tokens,15726.0000,99.1229,,,,,Number of prompt tokens processed.
localhost:8001,counter,llamacpp:tokens_predicted,,15872.0000,100.0431,,,,,Number of generation tokens processed.
localhost:8001,counter,llamacpp:tokens_predicted_seconds,seconds,151.9880,0.9580,,,,,Predict process time
