# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 70136a0659aa
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,Description
localhost:8001,gauge,llamacpp:n_busy_slots_per_decode,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Average number of busy slots per llama_decode() call
localhost:8001,gauge,llamacpp:predicted_tokens_seconds,tokens/s,163.2195,162.6120,163.7190,0.4776,162.7210,162.7210,162.7210,162.7210,162.8430,163.7190,163.7190,163.7190,163.7190,Average generation throughput in tokens/s.
localhost:8001,gauge,llamacpp:prompt_tokens_seconds,tokens/s,1703.1525,1693.0200,1708.1600,3.9988,1699.2300,1699.2300,1699.2300,1699.2300,1704.5200,1708.1600,1708.1600,1708.1600,1708.1600,Average prompt throughput in tokens/s.
localhost:8001,gauge,llamacpp:requests_deferred,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Number of requests deferred.
localhost:8001,gauge,llamacpp:requests_processing,,0.9972,0.0000,1.0000,0.0525,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Number of requests processing.

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,Description
localhost:8001,counter,llamacpp:n_decode,,8419.0000,34.8825,,,,,Total number of llama_decode() calls
localhost:8001,counter,llamacpp:n_tokens_max,,0.0000,0.0000,,,,,Largest observed n_tokens.
localhost:8001,counter,llamacpp:prompt_seconds,seconds,0.7630,0.0032,,,,,Prompt process time
localhost:8001,counter,llamacpp:prompt_tokens,tokens,1678.0000,6.9525,,,,,Number of prompt tokens processed.
localhost:8001,counter,llamacpp:tokens_predicted,,35018.0000,145.0905,,,,,Number of generation tokens processed.
localhost:8001,counter,llamacpp:tokens_predicted_seconds,seconds,239.5600,0.9926,,,,,Predict process time
