# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.11.0
# schema_version: 1.0
# benchmark_id: 07f3f968d4d7
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,Description
localhost:8000,gauge,llamacpp:n_busy_slots_per_decode,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Average number of busy slots per llama_decode() call
localhost:8000,gauge,llamacpp:predicted_tokens_seconds,tokens/s,69.7987,69.5602,70.1468,0.1759,69.5856,69.5856,69.5856,69.6458,69.7308,69.9258,70.0331,70.1468,70.1468,Average generation throughput in tokens/s.
localhost:8000,gauge,llamacpp:prompt_tokens_seconds,tokens/s,2979.7631,2699.9200,3113.9000,103.8199,2783.7100,2783.7100,2783.7100,2903.7700,2984.8000,3067.0400,3095.2000,3113.9000,3113.9000,Average prompt throughput in tokens/s.
localhost:8000,gauge,llamacpp:requests_deferred,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Number of requests deferred.
localhost:8000,gauge,llamacpp:requests_processing,,0.9989,0.0000,1.0000,0.0331,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Number of requests processing.

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,Description
localhost:8000,counter,llamacpp:n_decode,,41004.0000,67.5867,,,,,Total number of llama_decode() calls
localhost:8000,counter,llamacpp:n_tokens_max,,0.0000,0.0000,,,,,Largest observed n_tokens.
localhost:8000,counter,llamacpp:prompt_seconds,seconds,11.9590,0.0197,,,,,Prompt process time
localhost:8000,counter,llamacpp:prompt_tokens,tokens,41073.0000,67.7005,,,,,Number of prompt tokens processed.
localhost:8000,counter,llamacpp:tokens_predicted,,45056.0000,74.2656,,,,,Number of generation tokens processed.
localhost:8000,counter,llamacpp:tokens_predicted_seconds,seconds,650.8400,1.0728,,,,,Predict process time
